Order_ID,Store,Category,Sub_Category,City,Region,Season,Units_Sold,Unit_Price,Cost_Price,Marketing_Spend,Discount_Pct,Is_Holiday,Store_Size_sqft,Staff_Count,Customer_Rating,Revenue,Profit,Profit_Margin,Revenue_K
ORD-00001,Store_Gamma,Home & Garden,Decor,Hyderabad,South,Monsoon,55,1521.67,218.13,1433.65,5,1,3500,48,3.6,105925.57,93928.42,88.67,105.93
ORD-00002,Store_Gamma,Sports,Outdoor,Pune,West,Monsoon,44,50.0,907.37,2353.42,30,0,8000,21,3.2,1917.41,-38006.87,-1982.2,1.92
ORD-00003,Store_Alpha,Grocery,Beverages,Kolkata,East,Summer,47,231.66,1052.37,4257.02,0,0,2000,42,3.8,26553.94,-22907.45,-86.27,26.55
ORD-00004,Store_Gamma,Sports,Cricket,Delhi,North,Winter,31,722.13,1106.72,4210.9,20,1,5000,34,3.3,32265.55,-2042.77,-6.33,32.27
ORD-00005,Store_Beta,Sports,Fitness,Pune,West,Festive,46,821.16,227.37,3311.32,20,0,5000,6,3.9,27725.19,17266.17,62.28,27.73
ORD-00006,Store_Alpha,Clothing,Accessories,Bangalore,South,Monsoon,36,1703.9,949.99,2456.34,20,0,1000,12,4.5,67627.25,33427.61,49.43,67.63
ORD-00007,Store_Gamma,Grocery,Dairy,Hyderabad,South,Summer,42,672.66,964.79,3990.32,25,1,2000,18,3.7,34547.3,-5973.88,-17.29,34.55
ORD-00008,Store_Epsilon,Grocery,Dairy,Pune,West,Festive,50,1600.16,1045.91,4483.78,30,0,5000,41,3.9,62881.64,10586.14,16.84,62.88
ORD-00009,Store_Gamma,Grocery,Fresh,Pune,West,Monsoon,42,728.94,490.91,2505.16,30,0,2000,39,3.7,18344.31,-2273.91,-12.4,18.34
ORD-00010,Store_Beta,Sports,Fitness,Kolkata,East,Festive,48,479.47,30.0,1253.98,0,0,2000,46,4.3,34331.84,32891.84,95.81,34.33
